Day,Slot 1,Slot 2,Slot 3,Slot 4
Day 1,"CE1.603: Advanced Structural Analysis
HS8.101: Making of Contemporary World
CS1.403: Compilers
EC2.502: Flexible Electronics
CL3.409: Evaluation Methods for NLP
EC4.402: Introduction to UAV Design
PD2.422: Business Finance","SC2.101: General and Structural Chemistry
SC3.303: Advanced Bioinformatics
CS3.303: Introduction to IoT
CS8.402: Information Security Audit and Assurance
CL1.102: Introduction to Linguistics II
EC2.204: Intro to Processor Architecture
HS2.304: Sociology of Platform Economies
EC2.103: Analog Electronic Circuits
CS1.505: Quantum aspects of Cryptography
EC2.401: Analog IC Design
CS6.301: Design and Analysis of Software Systems","CS8.502: Topics in Information-Theoretic Privacy
CE1.609: Analysis and Design of Bridge Structures
CS8.401: Principles of Information Security
CS7.603: Topics in Reinforcement Learning
EC5.402: Time Frequency Analysis
CS7.401: Introduction to NLP
CS1.406: Advanced Algorithms
EC5.102: Information and Communication","CS1.501: Advanced Optimization: Theory and Applications
CE5.501: Design of Hydraulic Structures
CS2.201: Computer Systems Organization
PD1.411: Product Design Workshop
HS3.304: The Gutenberg Parenthesis
CS1.409: Quantum Algorithms
HS8.102: Intro to Human Sciences
CG2.401: Cognitive Neuroscience
CL2.404: Computational Psycholinguistics"
Day 2,"CS7.303: Digital Signal Analysis
CL3.408: Applications of Language Models
EC4.501: Advances in Robotics and Control
CS7.405: Responsible & Safe AI Systems
MA2.101: Linear Algebra
CS8.301: Introduction to Information Security
CG3.501: Cognitive Science and AI","HS0.207: Science & Technology: Critical Perspectives
HS1.209: Music Language Creativity
HS0.217: Ethics and the Digital Society
HS0.218a: Ethics in Research
HS4.303: Digital Democracy and Data Governance in the European Union
HS0.304: Mind, Body and Cognition","SC1.204: Thermodynamics
CS9.312: Introduction to Quantum Information and Computation
SC2.301: Physics of Soft Condensed Matter
HS0.302: Research Methods in Human Sciences
EC5.203: Communication Theory
SC4.411: Machine Learning for Natural Sciences","SC1.102: Classical Mechanics
CL3.101: Computational Linguistics 1
CE1.601: Earthquake Engineering
HS0.201: Thinking and Knowing in the Human Sciences-1
CS3.404: Internals of Application Servers
SC2.203: Biomolecular Structures
CS3.307: Performance modeling of computer systems
CS4.401: Data Systems
GS2.503: Spatial Data Sciences
CG3.403: Behavioral Research: Statistical Methods
EC5.408: Speech Signal Processing
CS8.403: System and Network Security"
Day 3,"CE8.401: Disaster Management","CL5.401: Topics in SSMT
CS1.408: Introduction to Game Theory
CS1.503: Mathematical Foundations of Data Science
CL4.407: Computer and Scripting II
SC1.111: Science II
CS6.401: Software Engineering
CG4.401: Music, Mind and Technology
CS3.401: Distributed Systems
EC4.403: Robotics: Planning and Navigation","CE1.608: Analysis & Design of Precast and Prestressed Structures
HS0.203a: Basics of Ethics
HS8.202: Gender, Culture and Representation
HS8.303: Environmental & Social Governance in Mineral Extraction
HS0.204: Introduction to Philosophy of Technology","CS7.403b: Statistical Methods in AI
CL2.204: Language Typology and Universals
CS7.403: Statistical Methods in AI
CS9.424: Technology Product Entrepreneurship"
Day 4,"CS6.201: Introduction to Software Systems
PD2.502: Product Lifecycle Management
HS3.305: Migrants and Migrations in Modern South Asia
SC3.326: Algebraic Methods in Reaction Networks
HS7.301: Science, Technology and Society","CS7.505: Computer Vision
CS7.301: Machine, Data and Learning
EC2.411: Advanced Devices
EC4.201: Mechatronics System Design-1
EC4.404: Mechatronics System Design
CS5.401: User Interaction and Usability of Digital Products","CS0.302: Computing Tools
MA4.303: Linear partial differential equations and variational calculus
CS9.433: Hydro Informatics","CS1.201: Data Structures and Algorithms
CS4.302: Data Visualisation
SC2.316: Molecular Modeling and Simulations
SC1.308: The Universe Across Scales"
